...1,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,length_over_depth
244,Gentoo,Biscoe,52.2,17.1,228,5400,male,2009,1.747178176073456
245,Gentoo,Biscoe,45.5,14.5,212,4750,female,2009,1.771420626074665
246,Gentoo,Biscoe,49.5,16.1,224,5650,male,2009,1.75343496072443
247,Gentoo,Biscoe,44.5,14.7,214,4850,female,2009,1.739888181566201
248,Gentoo,Biscoe,50.8,15.7,226,5200,male,2009,1.798796483710405
249,Gentoo,Biscoe,49.4,15.8,216,4925,male,2009,1.768214432268047
250,Gentoo,Biscoe,46.9,14.6,222,4875,female,2009,1.792297064418532
251,Gentoo,Biscoe,48.4,14.4,203,4625,female,2009,1.8333333333333333
252,Gentoo,Biscoe,51.1,16.5,225,5250,male,2009,1.7598209275291896
253,Gentoo,Biscoe,48.5,15,219,4850,female,2009,1.798147194568157
254,Gentoo,Biscoe,55.9,17,228,5600,male,2009,1.8133491925488723
255,Gentoo,Biscoe,47.2,15.5,215,4975,female,2009,1.745039051231399
256,Gentoo,Biscoe,49.1,15,228,5500,male,2009,1.8092355660149215
258,Gentoo,Biscoe,46.8,16.1,215,5500,male,2009,1.7049434882530992
259,Gentoo,Biscoe,41.7,14.7,210,4700,female,2009,1.6842608746502281
260,Gentoo,Biscoe,53.4,15.8,219,5500,male,2009,1.8384087781130283
261,Gentoo,Biscoe,43.3,14,208,4575,female,2009,1.7586520812420923
262,Gentoo,Biscoe,48.1,15.1,209,5500,male,2009,1.7847774269012253
263,Gentoo,Biscoe,50.5,15.2,216,5000,female,2009,1.822736519920702
264,Gentoo,Biscoe,49.8,15.9,229,5950,male,2009,1.7697670670735492
265,Gentoo,Biscoe,43.5,15.2,213,4650,female,2009,1.6916979946973862
266,Gentoo,Biscoe,51.5,16.3,230,5500,male,2009,1.7775008305072568
267,Gentoo,Biscoe,46.2,14.1,217,4375,female,2009,1.8101369408641024
268,Gentoo,Biscoe,55.1,16,230,5850,male,2009,1.8557343559895636
270,Gentoo,Biscoe,48.8,16.2,222,6000,male,2009,1.7356110390903676
271,Gentoo,Biscoe,47.2,13.7,214,4925,female,2009,1.8561399393506286
273,Gentoo,Biscoe,46.8,14.3,215,4850,female,2009,1.8090680674665818
274,Gentoo,Biscoe,50.4,15.7,222,5750,male,2009,1.7917006119334078
275,Gentoo,Biscoe,45.2,14.8,212,5200,female,2009,1.7475852065218604
276,Gentoo,Biscoe,49.9,16.1,213,5400,male,2009,1.7605052916670194
321,Chinstrap,Dream,50.9,17.9,196,3675,female,2009,1.686290431389093
322,Chinstrap,Dream,50.8,18.5,201,4450,male,2009,1.657089601061435
323,Chinstrap,Dream,50.1,17.9,190,3400,female,2009,1.6729861570151279
324,Chinstrap,Dream,49,19.6,212,4300,male,2009,1.5811388300841898
325,Chinstrap,Dream,51.5,18.7,187,3250,male,2009,1.6595212246871582
326,Chinstrap,Dream,49.8,17.3,198,3675,female,2009,1.6966474933712676
327,Chinstrap,Dream,48.1,16.4,199,3325,female,2009,1.7125789994240537
328,Chinstrap,Dream,51.4,19,201,3950,male,2009,1.6447684207494795
329,Chinstrap,Dream,45.7,17.3,193,3600,female,2009,1.6253056626708178
330,Chinstrap,Dream,50.7,19.7,203,4050,male,2009,1.604245636089968
331,Chinstrap,Dream,42.5,17.3,187,3350,female,2009,1.5673695795325142
332,Chinstrap,Dream,52.2,18.8,197,3450,male,2009,1.6663120190050995
333,Chinstrap,Dream,45.2,16.6,191,3250,female,2009,1.6501186521777942
334,Chinstrap,Dream,49.3,19.9,203,4050,male,2009,1.5739717070752468
335,Chinstrap,Dream,50.2,18.8,202,3800,male,2009,1.6340785678655256
336,Chinstrap,Dream,45.6,19.4,194,3525,female,2009,1.5331390882491795
337,Chinstrap,Dream,51.9,19.5,206,3950,male,2009,1.6314222204991757
338,Chinstrap,Dream,46.8,16.5,189,3650,female,2009,1.6841507166413687
339,Chinstrap,Dream,45.7,17,195,3650,female,2009,1.6395838783415893
340,Chinstrap,Dream,55.8,19.8,207,4000,male,2009,1.6787441193290351
341,Chinstrap,Dream,43.5,18.1,202,3400,female,2009,1.5502628542047543
342,Chinstrap,Dream,49.6,18.2,193,3775,male,2009,1.650840611711114
343,Chinstrap,Dream,50.8,19,210,4100,male,2009,1.635140425323255
344,Chinstrap,Dream,50.2,18.7,198,3775,female,2009,1.6384419362948526
