Instar,ActiveFeeding,Fgp,Mgp,Mass,Intake,Nfrass
1,Y,Y,N,0.00109,0.118499,5.33E-06
1,Y,Y,N,0.002577,0.161416,2.92E-05
1,Y,Y,Y,0.006472,0.229229,3.83E-05
2,N,Y,N,0.013552,0.199182,6.79E-05
2,N,Y,Y,0.0295,0.202759,4.95E-05
3,Y,Y,Y,0.0558,0.284097,0.00043558
3,Y,N,N,0.1574,0.342473,0.000181344
4,Y,Y,N,0.1699,0.583099,0.0008372
4,Y,Y,N,0.476,1.130859,0.00317373
4,N,N,N,1.2317,0.956538,0.0012859
4,Y,Y,Y,1.3509,1.654776,0.00249804
5,Y,Y,N,2.5201,4.631999,0.01295448
5,Y,Y,Y,5.079,6.322555,0.0242305
5,Y,N,N,9.1534,7.173253,0.02965302
5,N,N,N,12.0307,1.899159,0.01450748
1,Y,Y,N,0.001179,0.2097,1.09E-05
1,N,N,N,0.003845,0.1911,1.47E-05
1,N,Y,Y,0.006434,0.1814,3.15E-05
2,Y,Y,Y,0.0164,0.242,7.30E-05
2,Y,N,N,0.0353,0.3194,3.66E-05
3,N,Y,N,0.0418,0.3307,0.000260195
3,Y,N,N,0.1321,0.4074,0.00036771
3,Y,Y,Y,0.1804,0.9722,0.00069204
4,Y,Y,N,0.4672,1.5591,0.00320034
4,N,N,N,1.3241,0.8354,0.00060375
4,Y,Y,Y,1.2638,2.2921,0.0029792
5,Y,Y,N,2.7666,5.4033,0.01311232
5,Y,Y,Y,6.2316,7.5327,0.0267939
5,N,N,N,10.2216,3.2968,0.01791711
1,Y,Y,N,0.001158,0.2096,1.91E-06
1,N,Y,Y,0.001937,0.18,2.33E-05
1,Y,N,N,0.005918,0.2542,2.61E-06
2,N,Y,N,0.005856,0.2166,3.00E-05
2,Y,Y,Y,0.0169,0.2818,7.34E-05
2,N,N,N,0.0338,0.2032,2.58E-05
3,Y,Y,N,0.0385,0.2891,0.000240283
3,Y,Y,Y,0.1048,0.6288,0.000238419
3,N,N,N,0.213,0.4157,2.40E-05
4,Y,Y,N,0.2318,1.0127,0.00132143
4,Y,Y,N,0.5863,1.5039,0.00298224
4,N,N,N,1.3907,0.5814,0.00050298
4,Y,Y,Y,1.3431,2.2692,0.00269064
5,Y,Y,N,2.5977,4.4136,0.0115385
5,Y,Y,Y,5.3633,6.8671,0.02486449
5,N,N,N,9.039,4.6427,0.02390267
1,Y,Y,N,0.00142,0.1914,6.41E-06
1,Y,Y,N,0.00394,0.2059,1.26E-05
2,N,Y,Y,0.007174,0.2048,4.10E-05
2,Y,Y,Y,0.0191,0.2489,6.63E-05
2,Y,N,N,0.036,0.3171,2.81E-05
3,N,Y,N,0.0424,0.3344,0.00034465
3,Y,N,N,0.1331,0.4032,0.000301442
4,Y,Y,Y,0.1857,0.7402,0.0008242
4,Y,Y,N,0.4626,1.4217,0.00390574
4,N,N,N,1.3077,0.7479,0.00138156
4,Y,Y,Y,1.3425,2.0912,0.00240075
5,Y,Y,N,2.812,5.211,0.01354216
5,Y,Y,Y,6.1982,7.4576,0.02493246
5,N,N,N,10.0252,5.4522,0.03085929
1,Y,Y,N,0.001347,0.2158,NA
1,Y,Y,Y,0.003009,0.2109,1.66E-05
1,Y,N,N,0.007591,0.2028,7.27E-06
2,Y,Y,N,0.0103,0.2148,5.45E-05
2,Y,N,N,0.0264,0.2657,4.25E-05
2,Y,Y,Y,0.0321,0.3064,0.000131512
3,Y,Y,Y,0.0812,0.3946,0.0003792
3,N,N,N,0.2128,0.3311,0.00010773
4,Y,Y,N,0.2394,0.726,0.0007325
4,Y,Y,N,0.553,1.5247,0.00250344
4,N,N,N,1.2601,0.6491,0.00104488
4,Y,Y,Y,1.3313,1.3978,0.00081004
5,Y,Y,N,2.255,4.0652,0.00933232
5,Y,Y,Y,4.9887,6.2197,0.018209
5,Y,N,N,8.9225,7.621,0.02835651
5,N,N,N,12.4922,3.914,0.0261602
1,Y,Y,N,0.001144,0.1961,NA
1,N,Y,Y,0.003498,0.1622,NA
1,Y,N,N,0.0084,0.1892,1.52E-05
2,Y,Y,N,0.0117,0.2367,5.44E-05
2,Y,N,N,0.0284,0.2696,4.81E-05
3,N,Y,Y,0.0344,0.2622,0.000133402
3,Y,Y,Y,0.0759,0.3718,0.00048786
3,N,N,N,0.2023,0.2939,3.17E-05
4,Y,Y,N,0.2014,0.8688,0.00087391
4,Y,Y,N,0.6002,1.2978,0.00233495
4,N,N,N,1.2745,0.4187,0.00061705
4,Y,Y,Y,1.2674,1.907,0.0012928
5,Y,Y,Y,2.6127,4.5983,0.01234029
5,Y,N,N,5.5922,5.3096,0.01645728
5,Y,N,N,8.4556,6.4652,NA
5,N,N,N,10.8963,2.7704,0.01498693
1,Y,Y,N,0.001118,0.1679,NA
1,Y,Y,Y,0.003045,0.1901,2.27E-05
1,N,N,N,0.008205,0.1824,1.13E-05
2,Y,Y,Y,0.0107,0.2409,NA
2,Y,N,N,0.0313,0.3117,3.06E-05
3,N,Y,N,0.0338,0.305,0.000134784
3,Y,Y,Y,0.0932,0.3857,4.00E-04
3,N,N,N,0.214,0.4284,9.10E-05
4,Y,Y,N,0.2304,0.9775,0.00104005
4,Y,Y,N,0.6189,1.4887,0.002848
4,N,N,N,1.4187,0.5248,0.00067776
5,Y,Y,Y,1.3688,2.328,0.0026779
5,Y,Y,N,2.6919,4.7134,0.00962973
5,Y,Y,Y,5.8946,6.075,0.0201664
5,Y,N,N,9.271,6.4816,0.02507625
5,N,N,N,11.6474,2.8785,0.01310781
1,Y,Y,N,0.001548,0.1465,5.20E-06
1,Y,Y,Y,0.003657,0.1895,1.47E-05
1,N,N,N,0.00832,0.1716,NA
2,Y,Y,N,0.006348,0.2156,2.04E-05
2,Y,Y,Y,0.0128,0.3438,7.67E-05
2,N,N,N,0.0295,0.2175,9.18E-06
3,Y,Y,N,0.0334,0.2616,0.000160499
3,Y,Y,Y,0.0836,0.3965,0.00043851
3,N,N,N,0.1882,0.3351,2.66E-05
4,Y,Y,N,0.2043,0.8167,0.0009472
4,Y,Y,N,0.5451,1.331,0.0018096
4,N,N,N,1.1594,0.5153,0.00043491
4,Y,Y,Y,1.1745,1.7001,0.00124533
5,Y,Y,N,2.1557,3.5537,0.0084321
5,Y,Y,Y,4.5787,4.9339,0.0145672
5,Y,N,N,7.4483,5.8055,0.02561328
5,N,N,N,9.781,1.9065,0.01019667
1,Y,Y,N,0.001157,0.1894,NA
1,Y,Y,Y,0.002829,0.2174,2.83E-05
1,N,N,N,0.007395,0.1971,NA
2,Y,Y,N,0.0098,0.2395,6.61E-05
2,Y,N,N,0.0254,0.3148,4.27E-05
3,N,Y,Y,0.0284,0.2649,0.000141299
3,Y,Y,Y,0.0702,0.4959,0.0004968
3,N,N,N,0.1807,0.5063,0.000175497
4,Y,Y,N,0.1907,0.8943,0.00084677
4,Y,Y,N,0.5024,1.4846,0.0025258
4,N,N,N,1.2381,1.2261,0.0012395
4,Y,Y,Y,1.388,1.4844,0.00088682
5,Y,Y,N,2.2956,4.0562,0.00961065
5,Y,Y,Y,4.9509,5.4406,0.01470438
5,Y,N,N,7.8878,6.03,0.02416778
5,N,N,N,10.6491,4.3166,0.01298817
1,Y,Y,N,0.001431,0.1216,8.84E-06
1,Y,Y,N,0.00486,0.1665,1.12E-05
1,N,Y,Y,0.008402,0.1639,2.50E-05
2,Y,Y,Y,0.0163,0.1957,0.000105322
2,Y,N,N,0.0423,0.3378,3.02E-05
3,N,Y,N,0.0513,0.3399,0.00033176
3,N,N,N,0.1646,0.3248,0.00034236
4,Y,Y,Y,0.2115,0.698,0.00065888
4,Y,Y,N,0.5501,1.3367,0.00288463
4,N,N,N,1.4051,0.8212,0.00065124
4,Y,Y,Y,1.4806,2.2312,0.00176049
5,Y,Y,N,3.107,5.0533,0.01228914
5,Y,Y,Y,6.3814,7.1451,0.02380285
5,Y,N,N,9.9312,7.9723,0.03468354
5,N,N,N,12.8632,3.0297,0.02157502
1,Y,Y,N,0.001433,0.1191,NA
1,Y,Y,N,0.003519,0.1667,3.22E-05
1,N,Y,Y,0.009915,0.1594,NA
2,Y,Y,Y,0.0172,0.2369,0.000111537
2,N,N,N,0.0486,0.2559,5.29E-05
3,Y,Y,Y,0.0598,0.3995,0.0004543
3,N,N,N,0.1949,0.4153,0.000252945
4,Y,Y,N,0.2605,0.9085,0.00105559
4,Y,Y,N,0.7541,1.48951,0.00347115
4,N,N,N,1.6628,0.7679,0.000209763
4,Y,Y,Y,1.6122,2.6749,0.00324373
5,Y,Y,Y,3.4813,5.8342,0.01488384
5,Y,N,N,7.3016,7.0558,0.02504544
5,N,N,N,10.5125,2.3514,0.0139432
